city,year,total_investment_amount_rmb_m,total_investment_count,early_investment_amount_rmb_m,early_investment_count,early_investment_amount_share,early_investment_count_share
青岛市,2019,,4,0.0,0,,0.0
青岛市,2020,275.25,20,34.58,6,,0.3
青岛市,2021,1323.68,133,33.5,45,,0.338346
青岛市,2022,857.64,104,104.87,40,,0.384615
青岛市,2023,1376.99,59,154.87,18,,0.305085
青岛市,2024,1436.71,49,379.91,17,,0.346939
韶关市,2015,0.0,0,0.0,0,,
韶关市,2016,0.0,0,0.0,0,,
韶关市,2017,0.0,0,0.0,0,,
韶关市,2018,10.37,4,,3,,0.75
韶关市,2019,0.0,0,0.0,0,,
韶关市,2020,0.0,0,0.0,0,,
韶关市,2021,,2,0.0,0,,0.0
韶关市,2022,,1,0.0,0,,0.0
韶关市,2023,,1,0.0,0,,0.0
韶关市,2024,0.0,0,0.0,0,,
马鞍山市,2015,35.0,1,0.0,0,0.0,0.0
马鞍山市,2016,18.18,8,,3,,0.375
马鞍山市,2017,564.82,8,11.9,2,,0.25
马鞍山市,2018,104.82,4,,1,,0.25
马鞍山市,2019,72.0,5,0.0,0,,0.0
马鞍山市,2020,434.75,8,46.75,3,,0.375
马鞍山市,2021,146.0,2,0.0,0,,0.0
马鞍山市,2022,0.0,0,0.0,0,,
马鞍山市,2023,5.0,1,0.0,0,0.0,0.0
马鞍山市,2024,0.0,0,0.0,0,,
鹰潭市,2015,0.0,0,0.0,0,,
鹰潭市,2016,0.0,0,0.0,0,,
鹰潭市,2017,0.0,0,0.0,0,,
鹰潭市,2018,0.0,0,0.0,0,,
鹰潭市,2019,0.0,0,0.0,0,,
鹰潭市,2020,0.0,0,0.0,0,,
鹰潭市,2021,0.0,0,0.0,0,,
鹰潭市,2022,10.0,1,10.0,1,1.0,1.0
鹰潭市,2023,,1,,1,,1.0
鹰潭市,2024,0.0,0,0.0,0,,
黄山市,2015,0.0,0,0.0,0,,
黄山市,2016,0.0,0,0.0,0,,
黄山市,2017,0.0,0,0.0,0,,
黄山市,2018,36.4,4,36.4,3,,0.75
黄山市,2019,229.98,8,100.0,2,,0.25
黄山市,2020,109.84,7,,1,,0.142857
黄山市,2021,20.0,12,0.0,0,,0.0
黄山市,2022,,5,,2,,0.4
黄山市,2023,20.0,4,,2,,0.5
黄山市,2024,6.0,1,0.0,0,0.0,0.0
黄石市,2015,,1,0.0,0,,0.0
黄石市,2016,,1,,1,,1.0
